*BISMUTH:0000:0:1:1:1195:1149/1 241
38MES01CCII11 83/83 1.000000
38SUR0CCII11 83/83 1.000000
39DCM0IIQQ11 83/83 1.000000
41DCM0CCII11 83/83 1.000000
41SUR0CCII11 83/83 1.000000
42DCM0CCII11 83/83 1.000000
42SUR0CCII11 83/83 1.000000
45SUR0CCII11 83/83 1.000000
56MES0CCKK11 83/83 1.000000
56SUR0CCKK11 83/83 1.000000
57SUR0CCKK11 83/83 1.000000
58DCM0CCKK11 83/83 1.000000
62SUR0CCKK11 83/83 1.000000
64DCM0CCKK11 83/83 1.000000
64SUR0CCKK11 83/83 1.000000
65DCM0CCKK11 83/83 1.000000
65SUR0CCKK11 83/83 1.000000
66DCM0CCKK11 83/83 1.000000
66SUR0CCKK11 83/83 1.000000
72MES0CCKK11 83/83 1.000000
72SUR0CCKK11 83/83 1.000000
76DCM0CCEE11 83/83 1.000000
76SUR0CCEE11 83/83 1.000000
78DCM0CCEE11 83/83 1.000000
78SUR0CCKK11 83/83 1.000000
145SUR0CCKK11 82/83 0.987952
52DCM0CCII11 80/83 0.963855
32DCM0CCII11 79/83 0.951807
78SUR0CCEE11 79/83 0.951807
125SUR0CCKK11 78/83 0.939759
34SUR0CCII11 76/83 0.915663
34SUR0BBCC11 66/83 0.795181
68DCM0CCEE11 61/83 0.734940
123SUR0CCEE11 58/83 0.698795
148MES0CCKK11 57/83 0.686747
65DCM0BBCC11 55/83 0.662651
76DCM0CCKK11 55/83 0.662651
78DCM0CCKK11 55/83 0.662651
76SUR0CCKK11 53/83 0.638554
72DCM0CCKK11 52/83 0.626506
76SUR0EEGG11 51/83 0.614458
150SUR0CCKK11 50/83 0.602410
78DCM0EEGG11 50/83 0.602410
150DCM0CCKK11 49/83 0.590361
68SUR0CCKK11 49/83 0.590361
137SUR0CCKK11 45/83 0.542169
112DCM0CCKK11 42/83 0.506024
125MXL00CCEE11 38/83 0.457831
110DCM0CCKK11 37/83 0.445783
110SUR0CCKK11 36/83 0.433735
76DCM0EEGG11 36/83 0.433735
48SUR0CCII11 34/83 0.409639
109SUR0CCKK11 33/83 0.397590
123MXL00CCKK11 32/83 0.385542
65MES0CCKK11 32/83 0.385542
132MES0CCKK11 30/83 0.361446
78SUR0EEGG11 30/83 0.361446
98MES0CCKK11 30/83 0.361446
112SUR0CCKK11 29/83 0.349398
124MXL00CCEE11 29/83 0.349398
78MES0CCKK11 29/83 0.349398
100DCM0CCKK11 28/83 0.337349
123SUR0CCKK11 28/83 0.337349
138DCM0CCKK11 28/83 0.337349
98SUR0CCKK11 28/83 0.337349
149MES0CCKK11 27/83 0.325301
64MES0CCKK11 27/83 0.325301
70SUR0CCEE11 27/83 0.325301
132DCM0CCKK11 26/83 0.313253
98DCM0CCKK11 26/83 0.313253
102DCM0CCKK11 25/83 0.301205
155MES0CCKK11 25/83 0.301205
18DCM0CCII11 25/83 0.301205
68MES0EEGG11 25/83 0.301205
110MES0CCKK11 24/83 0.289157
111MES0CCKK11 24/83 0.289157
151DCM0CCKK11 24/83 0.289157
18SUR0CCII11 24/83 0.289157
128DCM0CCKK11 23/83 0.277108
138SUR0CCKK11 23/83 0.277108
152MES0CCKK11 23/83 0.277108
25DCM0CCII11 23/83 0.277108
68MES0CCKK11 23/83 0.277108
68SUR0CCEE11 23/83 0.277108
100MES0CCKK11 22/83 0.265060
123MES00CCEE11 22/83 0.265060
152ZZZ00CCKK11 22/83 0.265060
4DCM0CCII11 22/83 0.265060
76MES0CCKK11 22/83 0.265060
9DCM0CCII11 22/83 0.265060
109DCM0CCKK11 21/83 0.253012
125MXL00CCKK11 21/83 0.253012
128SUR0CCKK11 21/83 0.253012
133DCM0CCKK11 21/83 0.253012
133SUR0CCKK11 21/83 0.253012
146MES0CCKK11 21/83 0.253012
151SUR0CCKK11 21/83 0.253012
152SUR0CCKK11 21/83 0.253012
52SUR0CCII11 21/83 0.253012
70SUR0CCKK11 21/83 0.253012
93DCM0CCKK11 21/83 0.253012
124MXL00CCKK11 20/83 0.240964
70MES0CCKK11 20/83 0.240964
70MES0EEGG11 20/83 0.240964
102SUR0CCKK11 19/83 0.228916
123SUR0EEGG11 19/83 0.228916
125SUR0EEGG11 19/83 0.228916
132SUR0CCKK11 19/83 0.228916
133MES0CCKK11 19/83 0.228916
99SUR0CCKK11 19/83 0.228916
111DCM0CCKK11 18/83 0.216867
68SUR0EEGG11 18/83 0.216867
122MES0CCKK11 17/83 0.204819
145MES0CCKK11 17/83 0.204819
155DCM0CCKK11 17/83 0.204819
155SUR0CCKK11 17/83 0.204819
158MES0CCKK11 17/83 0.204819
4SUR1CCII11 17/83 0.204819
70SUR0EEGG11 17/83 0.204819
85MES0CCKK11 17/83 0.204819
109MES0CCKK11 16/83 0.192771
122DCM0CCKK11 16/83 0.192771
124MXL00EEGG11 16/83 0.192771
163MES0CCKK11 16/83 0.192771
37MES00BBCC11 16/83 0.192771
68DCM0EEGG11 16/83 0.192771
93SUR0CCKK11 16/83 0.192771
111SUR0CCKK11 15/83 0.180723
112MES0CCKK11 15/83 0.180723
122DCM0EEGG11 15/83 0.180723
122MES0CCEE11 15/83 0.180723
122MES0EEGG11 15/83 0.180723
122SUR0EEGG11 15/83 0.180723
125MXL00EEGG11 15/83 0.180723
125SUR0CCEE11 15/83 0.180723
137DCM0CCKK11 15/83 0.180723
142MES0CCKK11 15/83 0.180723
206MES0CCKK11 15/83 0.180723
25SUR0CCII11 15/83 0.180723
76MES0EEGG11 15/83 0.180723
78MES0EEGG11 15/83 0.180723
7DCM0CCII11 15/83 0.180723
124SUR0CCKK11 14/83 0.168675
124SUR0EEGG11 14/83 0.168675
137MES0CCKK11 14/83 0.168675
201MES0CCKK11 14/83 0.168675
210MES0CCKK11 14/83 0.168675
30DCM0CCII11 14/83 0.168675
82SUR0CCKK11 14/83 0.168675
94SUR0CCKK11 14/83 0.168675
96SUR0CCKK11 14/83 0.168675
102MES0CCKK11 13/83 0.156627
122DCM0CCEE11 13/83 0.156627
191SUR0CCKK11 13/83 0.156627
194SUR0CCKK11 13/83 0.156627
196SUR0CCKK11 13/83 0.156627
205MES0CCKK11 13/83 0.156627
206SUR0CCKK11 13/83 0.156627
209SUR0CCKK11 13/83 0.156627
23DCM0CCII11 13/83 0.156627
37MES00CCII11 13/83 0.156627
68DCM0CCKK11 13/83 0.156627
84SUR0CCKK11 13/83 0.156627
9SUR0CCII11 13/83 0.156627
100SUR0CCKK11 12/83 0.144578
122SUR0CCEE11 12/83 0.144578
122SUR0CCKK11 12/83 0.144578
189MES0CCKK11 12/83 0.144578
65SUR0BBCC11 12/83 0.144578
67SUR0EEGG11 12/83 0.144578
138MES0CCKK11 11/83 0.132530
158DCM0CCKK11 11/83 0.132530
208SUR0CCKK11 11/83 0.132530
209MES0CCKK11 11/83 0.132530
67SUR0CCEE11 11/83 0.132530
82DCM0CCKK11 11/83 0.132530
123MES00EEGG11 10/83 0.120482
124SUR0CCEE11 10/83 0.120482
158SUR0CCKK11 10/83 0.120482
210SUR0CCKK11 10/83 0.120482
30SUR0CCII11 10/83 0.120482
7SUR0CCII11 10/83 0.120482
123MXL00BBCC11 9/83 0.108434
168DCM0CCKK11 9/83 0.108434
168SUR0CCKK11 9/83 0.108434
175ZZZ0CCKK11 9/83 0.108434
189DCM0CCKK11 9/83 0.108434
189SUR0CCKK11 9/83 0.108434
64DCM0BBCC11 9/83 0.108434
67SUR0CCKK11 9/83 0.108434
180SUR0CCKK11 8/83 0.096386
180ZZZ0CCKK11 8/83 0.096386
188SUR0CCKK11 8/83 0.096386
193SUR0CCKK11 8/83 0.096386
205SUR0CCKK11 8/83 0.096386
23SUR0CCII11 8/83 0.096386
38SUR0BBCC11 8/83 0.096386
48SUR0BBCC11 8/83 0.096386
70MES0CCEE11 8/83 0.096386
173IZZ0CCKK11 7/83 0.084337
178SUR0CCKK11 7/83 0.084337
194DCM0CCKK11 7/83 0.084337
39MES01CCII11 7/83 0.084337
85DCM0CCKK11 7/83 0.084337
168IZZ0CCKK11 6/83 0.072289
201DCM0CCKK11 6/83 0.072289
201SUR0CCKK11 6/83 0.072289
38MES00BBCC11 6/83 0.072289
39MES00BBCC11 6/83 0.072289
122DCM0BBCC11 5/83 0.060241
173SUR0CCKK11 5/83 0.060241
175SUR0CCKK11 5/83 0.060241
188DCM0CCKK11 5/83 0.060241
38OMZ1CCII11 5/83 0.060241
124MXL00BBCC11 4/83 0.048193
41SUR0BBCC11 4/83 0.048193
122SUR0BBCC11 3/83 0.036145
125MXL00BBCC11 3/83 0.036145
163SUR0CCKK11 3/83 0.036145
173DCM0CCKK11 3/83 0.036145
85SUR0CCKK11 3/83 0.036145
122MES0BBCC11 2/83 0.024096
125SUR0BBCC11 2/83 0.024096
39SUR0BBCC11 2/83 0.024096
123SUR0BBCC12 1/83 0.012048
124SUR0BBCC11 1/83 0.012048
36SUR0BBCC11 1/83 0.012048
*BISMUTH:0000:0:1:1:1611:1150/1 241
64SUR0CCKK11 79/86 0.918605
72SUR0CCKK11 44/86 0.511628
150DCM0CCKK11 35/86 0.406977
52DCM0CCII11 34/86 0.395349
34DCM0CCII11 30/86 0.348837
42SUR0CCII11 30/86 0.348837
141SUR0CCKK11 29/86 0.337209
142DCM0CCKK11 29/86 0.337209
39DCM0IIQQ11 28/86 0.325581
76DCM0CCKK11 28/86 0.325581
65DCM0CCKK11 27/86 0.313953
132DCM0CCKK11 24/86 0.279070
41SUR0CCII11 24/86 0.279070
78DCM0CCKK11 24/86 0.279070
78MES0CCKK11 24/86 0.279070
78SUR0CCKK11 24/86 0.279070
142SUR0CCKK11 23/86 0.267442
32DCM0CCII11 23/86 0.267442
31SUR1CCII11 22/86 0.255814
37MES00BBCC11 22/86 0.255814
56SUR0CCKK11 22/86 0.255814
125MXL00CCKK11 21/86 0.244186
138SUR0CCKK11 21/86 0.244186
163MES0CCKK11 21/86 0.244186
209MES0CCKK11 21/86 0.244186
32SUR0CCII11 21/86 0.244186
64DCM0CCKK11 21/86 0.244186
65MES0CCKK11 21/86 0.244186
70MES0EEGG11 21/86 0.244186
76MES0CCKK11 21/86 0.244186
98MES0CCKK11 21/86 0.244186
110MES0CCKK11 20/86 0.232558
112DCM0CCKK11 20/86 0.232558
112SUR0CCKK11 20/86 0.232558
132MES0CCKK11 20/86 0.232558
146SUR0CCKK11 20/86 0.232558
148SUR0CCKK11 20/86 0.232558
150SUR0CCKK11 20/86 0.232558
155MES0CCKK11 20/86 0.232558
175ZZZ0CCKK11 20/86 0.232558
56MES0CCKK11 20/86 0.232558
72MES0CCKK11 20/86 0.232558
111SUR0CCKK11 19/86 0.220930
133MES0CCKK11 19/86 0.220930
138DCM0CCKK11 19/86 0.220930
140SUR0CCKK11 19/86 0.220930
57SUR0CCKK11 19/86 0.220930
72DCM0CCKK11 19/86 0.220930
76DCM0EEGG11 19/86 0.220930
76SUR0CCEE11 19/86 0.220930
76SUR0CCKK11 19/86 0.220930
76SUR0EEGG11 19/86 0.220930
96SUR0CCKK11 19/86 0.220930
109SUR0CCKK11 18/86 0.209302
112MES0CCKK11 18/86 0.209302
152ZZZ00CCKK11 18/86 0.209302
155DCM0CCKK11 18/86 0.209302
189MES0CCKK11 18/86 0.209302
45SUR0CCII11 18/86 0.209302
62SUR0CCKK11 18/86 0.209302
65SUR0CCKK11 18/86 0.209302
78DCM0EEGG11 18/86 0.209302
85MES0CCKK11 18/86 0.209302
122DCM0CCKK11 17/86 0.197674
123MXL00CCKK11 17/86 0.197674
124SUR0CCKK11 17/86 0.197674
137SUR0CCKK11 17/86 0.197674
145MES0CCKK11 17/86 0.197674
148MES0CCKK11 17/86 0.197674
149SUR0CCKK11 17/86 0.197674
158MES0CCKK11 17/86 0.197674
25DCM0CCII11 17/86 0.197674
38DCM0CCII11 17/86 0.197674
38MES01CCII11 17/86 0.197674
48SUR0CCII11 17/86 0.197674
4DCM0CCII11 17/86 0.197674
52SUR0CCII11 17/86 0.197674
58DCM0CCKK11 17/86 0.197674
68DCM0EEGG11 17/86 0.197674
68SUR0CCKK11 17/86 0.197674
76DCM0CCEE11 17/86 0.197674
78DCM0CCEE11 17/86 0.197674
82DCM0CCKK11 17/86 0.197674
98DCM0CCKK11 17/86 0.197674
111MES0CCKK11 16/86 0.186047
123SUR0EEGG11 16/86 0.186047
125SUR0EEGG11 16/86 0.186047
133SUR0CCKK11 16/86 0.186047
138MES0CCKK11 16/86 0.186047
145SUR0CCKK11 16/86 0.186047
149MES0CCKK11 16/86 0.186047
151SUR0CCKK11 16/86 0.186047
152MES0CCKK11 16/86 0.186047
210SUR0CCKK11 16/86 0.186047
38SUR0CCII11 16/86 0.186047
42DCM0CCII11 16/86 0.186047
68MES0EEGG11 16/86 0.186047
70SUR0EEGG11 16/86 0.186047
76MES0EEGG11 16/86 0.186047
78MES0EEGG11 16/86 0.186047
102DCM0CCKK11 15/86 0.174419
110DCM0CCKK11 15/86 0.174419
122SUR0EEGG11 15/86 0.174419
128DCM0CCKK11 15/86 0.174419
191SUR0CCKK11 15/86 0.174419
206MES0CCKK11 15/86 0.174419
70SUR0CCEE11 15/86 0.174419
78SUR0CCEE11 15/86 0.174419
9SUR0CCII11 15/86 0.174419
100DCM0CCKK11 14/86 0.162791
110SUR0CCKK11 14/86 0.162791
111DCM0CCKK11 14/86 0.162791
122MES0CCKK11 14/86 0.162791
122SUR0CCKK11 14/86 0.162791
123MES00CCEE11 14/86 0.162791
123MES00EEGG11 14/86 0.162791
123SUR0CCKK11 14/86 0.162791
124MXL00CCKK11 14/86 0.162791
125MXL00EEGG11 14/86 0.162791
128SUR0CCKK11 14/86 0.162791
137MES0CCKK11 14/86 0.162791
152SUR0CCKK11 14/86 0.162791
155SUR0CCKK11 14/86 0.162791
194SUR0CCKK11 14/86 0.162791
201MES0CCKK11 14/86 0.162791
210MES0CCKK11 14/86 0.162791
36DCM0CCII11 14/86 0.162791
66SUR0CCKK11 14/86 0.162791
68SUR0CCEE11 14/86 0.162791
102MES0CCKK11 13/86 0.151163
122SUR0CCEE11 13/86 0.151163
151DCM0CCKK11 13/86 0.151163
168DCM0CCKK11 13/86 0.151163
180ZZZ0CCKK11 13/86 0.151163
206SUR0CCKK11 13/86 0.151163
